ticker,trade_date,transtype,quantity,price,currency
TSLA,14/12/2016,BUY,13,200.6,USD
AAPL,28/02/2017,BUY,20,136.98,USD
ASML,12/03/2017,BUY,13,116.55,EUR
ALB,24/03/2017,BUY,19,105.54,USD
TSLA,04/05/2017,BUY,7,295.67,USD
TSLA,02/08/2017,BUY,10,317.19,USD
TSLA,19/09/2017,SELL,-13,376.57,USD
TSLA,29/09/2017,BUY,14,343.77,USD
TSLA,02/11/2017,BUY,10,300,USD
ALB,08/11/2017,SELL,-19,138.98,USD
ASML,09/11/2017,SELL,-13,151,EUR
AAPL,17/11/2017,BUY,25,170.77,USD
TSLA,28/03/2018,BUY,11,260,USD
AAPL,29/05/2018,SELL,-45,187.42,USD
TSLA,25/07/2018,BUY,14,299.57,USD
TSLA,09/10/2018,BUY,19,258.5,USD
AAPL,18/01/2019,BUY,40,157,USD
TSLA,06/03/2019,BUY,20,278.5,USD
AAPL,25/03/2019,SELL,-40,188,USD
NVDA,02/04/2019,BUY,39,189.45,USD
NIO,02/04/2019,BUY,750,5.41,USD
